	Class	sentID	sent
26	1	бомбардировать#27	И банк продолжал бомбардировать меня то повестками в суд , то предложениями « войти в мое трудное положение и реструктурировать кредит » .
27	1	бомбардировать#28	Алиса на это не подписывалась - не стоит её бомбардировать по этому поводу , у неё сейчас и так забот выше крыши .
28	1	бомбардировать#29	В течение всего дня вас бомбардируют телевизионной коммерческой рекламой , рекламными объявлениями по радио , рекламой в газетах , рекламой на стенках автобусов и на щитах для объявлений .
29	1	бомбардировать#30	« Виновница » переполоха , однако , не спешила почивать на лаврах , продолжая бомбардировать рынок новинками – автофокусными « зеркалками » Maxxum ( за пределами США известными как Dynax и Alpha ) на базе свежеиспеченного байонета « Minolta A » .
30	1	бомбардировать#31	Тем временем панегириками в адрес Ретифа де ла Бретонна меня начал бомбардировать Данте Дзакканьини , ученый и запойный читатель из Кайроу , штат НьюЙорк .
31	1	бомбардировать#32	А вот теперь объясните - когда с польским правительством заключили договор в 41 , и они начали бомбардировать СССР просьбами вернуть этих поляков , им до 43 года нагло врали .
32	1	бомбардировать#33	) Мужиков надо планомерно и настойчиво бомбардировать мыслью - оружие не доверяют только рабам !
33	1	бомбардировать#34	Что касается влияния пробиотиков на здоровье — потребителей вовсю бомбардируют заявлениями о пользе сброженных продуктов , которые являются источником живых культур — все знают о йогурте .
34	1	бомбардировать#35	Его бомбардируют прошениями уважаемые люди , даже космонавты ( особенно тот , что видел в иллюминаторе летающие тарелки ) , и пишут , чтобы он своим буквоедством не мешал распространению передовых научных идей .
35	1	бомбардировать#36	Нас , людей , постоянно бомбардирует противоречивая информация , передаваемая разными органами чувств , но , к счастью , у нас есть хороший « примиритель » или « арбитр » — ум , который синтезирует , интегрирует и сглаживает конфликты между своими агентами , которые постоянно докладывают в « штаб » со своих различных аванпостов .
36	1	бомбардировать#37	В последующие пятнадцать минут Карла буквально бомбардировали подобными же детскими задачами .
37	1	бомбардировать#38	Сайт откликается на потребности должным образом реагировать на многочисленные потоки символически насыщенных сообщений , изо дня в день бомбардирующих сознание огромного множества людей посредством телевидения , радио , прессы , кино , видеоигр и других средств электронной культуры , среди которых возрастающую роль играет Интернет , - учитывая при этом роль проблематики экологии масс - медиа и мультимедийной грамотности , а также музыкального структурирования сознания современного человека - жителя " глобальной деревни " .
38	1	бомбардировать#39	Хабаровская межрайонная природоохранная прокуратура и Ростехнадзор бомбардируют местный суд исковыми заявлениями с требованием обязать руководство Водоканала объяснить , почему у орга низации , в чьем ведении находятся канализационные сети , нет права на пользование водным объектом .
39	1	бомбардировать#40	Изображения , которыми бомбардируют нас телевидение , кино , а теперь и персональные компьютеры , наглядно демонстрируют мощь современной 3 D - графики .
40	1	бомбардировать#41	В течение двух недель я бомбардировала службу поддержки этого сервиса , но не получила ни одного ответа .
41	1	бомбардировать#42	Но последние , спустя около года , находят новый мифический долг и вновь бомбардируют меня ультиматумами .
42	1	бомбардировать#43	После этого вас начнут регулярно бомбардировать предложениями « скачать мой новый микс » и « оценить мой новый проект » .
43	1	бомбардировать#44	Но неожиданно для себя влюбился во второй раз — в 19 - летнюю баронессу Александру Бистром , которую он четыре месяца бомбардировал любовными письмами , по 20 - 30 страниц в день , где описывал все свои достоинства и недостатки .
44	1	бомбардировать#45	Увы , хотя энтузиасты бомбардировали своими отчетами и предложениями и Минавиапром СССР , и НИИ ВВС , и Военно-воздушную академию имени Жуковского , и даже КГБ СССР , отклика они не находили .
45	1	бомбардировать#46	Он стал замкнутым - а до того бомбардировал ученые заведения подробнейшими отчетами обо всех своих изысканиях .
46	1	бомбардировать#47	Ленин бомбардировал Украину телеграммами о каких-то 50 млн. пудов хлеба , без которых « мы околеем все » .
47	1	бомбардировать#48	Так что сначала нелишне предпринять нежную « разведку » и аккуратно уточнить , отчего бесценный не пристает лишний раз , когда , вроде бы , и возможность есть , и красавица флюидами так и бомбардирует .
48	1	бомбардировать#49	Министр здравоохранения и соцразвития Михаил Зурабов бомбардирует парламент демографическими идеями .
49	1	бомбардировать#50	Компания больше не будет « бомбардировать абонентов своими кампаниями » , а вместо этого подойдёт к вопросу более избирательно , утверждает г-жа Шмидт .
50	1	бомбардировать#51	Иначе зачем производители буквально бомбардируют рынок подобными моделями ?
51	1	бомбардировать#52	Почему якобы « заказавший » Козлова Френкель буквально бомбардировал прессу письмами - доносами на Козлова и ЦБР , делая себя в глазах общества их главным врагом ?
52	1	бомбардировать#53	Гипотетично можно было бы конечно представить себе , что повышение скорости и количество новых элементов бомбардирующих старую культуру столь велико , что они неизбежно приведут к разрушению самой структуры , когда количество новых элементов по своей , если так можно выразиться культурообразующей энергии , превзойдет старую .
53	1	бомбардировать#54	Явно потрясенный тем , что ему удалось обнаружить в этих документах , ван де Вивер начал бомбардировать своего предшественника в должности Уоттса электронными письмами , сообщавшими о том , что « преждевременные » и « сверхоптимистичные » данные о запасах создали ложное представление о компании .
54	1	бомбардировать#55	Согласно этому исследованию , 65 % населения США считают , что их постоянно бомбардируют рекламой , а 59 % уверены , что реклама не оказывает никакого влияния на их потребительский выбор .
55	1	бомбардировать#56	Напротив , рок-музыка насильно бомбардирует их проповедью взрослого секса и даже извращений , подталкивая их к извращенному половому поведению .
56	1	бомбардировать#57	Эти источники будут вас бомбардировать бесконечными фактами и числами , теориями и понятиями .
57	1	бомбардировать#58	Фильмы должны быть быстрыми , бомбардировать зрителя , не дать ему расслабиться .
58	1	бомбардировать#59	Ну , так вот , один из братьев держался особняком от остальных и все время бомбардировал врачей устными и письменными заявлениями о том , что он нормальный и не должен сидеть в психушке .
59	1	бомбардировать#60	Только тогда услуга рекрутмента будет признана профессиональным сервисом , а не брокерством резюме соискателей , которыми бомбардируют клиентов агентства по подбору , при этом кандидаты даже не всегда знают о том , что агентство их представило в качестве соискателя в ту или иную компанию .
60	1	бомбардировать#61	Интересно , что происходит , когда потребителя ежедневно бомбардирует большее количество повторяющейся рекламы одной марки ?
61	1	бомбардировать#62	Чем ближе 2012 год , тем больше нас бомбардируют публикациями об апокалипсисе , основанном на календаре майя , и регулярными объявлениями о конце света .
62	1	бомбардировать#63	Регулярно писала ему письма , заботливо справлялась о состоянии его здоровья и бомбардировала его подробными отчетами о достоинствах Джулиана , его красоте и успехах в учебе .
63	1	бомбардировать#64	В 1946 - 1947 годах П. Л. Капица буквально бомбардировал вождей - И. В. Сталина , Г. М. Маленкова , Л. П. Берию - письмами , в которых утверждалось , что опыт войны совершенно изменил представления о роли и значении науки , приводились аргументы в пользу создания особого вуза , в котором полноценно раскрылись бы « специальные методы обучения , рассчитанные на максимальное развитие творческой инициативы и индивидуально приспособленные к особенностям каждого учащегося » .
64	1	бомбардировать#65	« “ Битва за сознание потребителя ” воспринимается как своеобразная игра : компании стремятся заполучить наше расположение и бомбардируют нас рекламой и PR - акциями — ОК , мы с интересом понаблюдаем за этими попытками »
65	1	бомбардировать#66	Долгие недели после крупного события нас бомбардируют свидетельствами очевидцев , сотни раз прокручивают одни и те же кадры , шокируют ранее неизвестными подробностями .
66	1	бомбардировать#67	А уж потом через них можно бомбардировать нас рекламой « персонально » .
67	1	бомбардировать#68	Сто дней , на протяжении которых страну буквально бомбардировали разоблачениями , чей размах выходил за рамки трагических событий зимы II года в Нанте .
68	1	бомбардировать#69	С настойчивостью , достойной лучшего применения , он бомбардирует сообщников своими " высокохудожественными " рецензиями .
69	1	бомбардировать#70	Целый год он безрезультатно " бомбардировал " высшие инстанции рапортами с просьбой отправить его на фронт , а в июне 1942 - го попросту сбежал на войну на опытном истребителе ЛаГГ - 3 , сделав на прощание три " мертвые петли " под мостом через Волгу .
70	1	бомбардировать#71	Оглядываясь назад , я думаю , что если бы мы тогда сменили рекламные агентства и начали бомбардировать потребителей еще большим числом резонов , почему им следует покупать Coke , как мы сделали это позже , это могло бы подействовать .
71	1	бомбардировать#72	Вокруг курсов « пасётся » немало рекрутинговых компаний , бомбардирующих недавних выпускников заманчивыми предложениями .
72	1	бомбардировать#73	Они буквально бомбардировали службу « 911 » своими нелепыми звонками .
73	1	бомбардировать#74	Средства массовой информации бомбардируют духовные основы общества .
74	1	бомбардировать#75	Последние несколько лет СМИ бомбардируют публику сообщениями о новых эпидемиях гриппа , а два десятилетия назад журналисты твердили быстро ставшую штампом фразу о « чуме XX века » — синдроме приобретенного иммунодефицита .
75	1	бомбардировать#76	Слушателя непрерывно бомбардируют разглагольствованиями на набитые темы , утратившие подлинное значение и представляющие пустоту , заполняемую случайно пришедшими в голову мыслями .
76	1	бомбардировать#77	Я был свидетелем , участником , а в каком-то смысле даже инициатором этих событий , и поэтому неудивительно , что группа « Людены » на протяжении последних лет бомбардирует меня соответствующими запросами , официальными и неофициальными просьбами споспешествовать и напоминаниями о гражданском долге .
77	1	бомбардировать#79	Так что я считаю , что не стоит бомбардировать конкретную компанию , скорее , стоит положиться на естественный ход вещей на рынке .
78	1	бомбардировать#80	Средства массовой информации уже не один год бомбардируют нас информацией о том , что 2012 год может стать концом существования планеты Земля , а значит , и человечества в целом .
79	1	бомбардировать#81	А вот образовательные и медицинские учреждения , видимо , не привыкли к этому , а потому « бомбардируют » Минфин России письмами , связанными с возможностью применения п .
80	1	бомбардировать#82	Некоторые жители северо-востока США приняли свет за НЛО , и , отмечает CNN , бомбардировали телеканал сообщениями о странном свете , появившемся в небе .
81	1	бомбардировать#83	Но и из пустозерской ссылки , куда он был отправлен , Артамон бомбардирует нового царя оправдательными письмами , где часто поминает Гадена и ссылается на его авторитет .
82	1	бомбардировать#84	Адвокат между тем продолжал бомбардировать прокурора .
83	1	бомбардировать#85	Вклинившись в в обмен данными , они заводят знакомства и впоследствии начинают бомбардировать новых знакомых порнографическими изображениями , посылать словесные послания с гадкими словами и т.д .
84	1	бомбардировать#86	Епископ Гермоген и Илиодор стали бомбардировать Государя телеграммами , умоляя его не принимать Распутина .
85	1	бомбардировать#87	Во-вторых , после начала « монетизации » я многократно бомбардировал правительство запросами о положении тружеников тыла .
86	1	бомбардировать#88	несмотря на то , что мы многократно бомбардировали правительство запросами и предложениями на эту тему ;
87	1	бомбардировать#89	Прямо по ходу доклада он бомбардировал докладчика вопросами , ничуть не стесняясь того , что его вопросы могут показать непонимание доклада .
88	1	бомбардировать#90	Вместо приветствия в адрес многотысячного трудового коллектива вологодские чиновники " бомбардировали " комбинат угрозами и запретами , стремясь во что бы то ни стало сорвать пуск .
89	1	бомбардировать#91	Напрасно я вглядывался в их честные и открытые лица , напрасно бомбардировал вопросами .
90	1	бомбардировать#92	Большинство женских журналов бомбардирует своих молодых читательниц статьями о сексуальности и технике секса .
91	1	бомбардировать#93	Зарегистрировавшись в нескольких из них , они начинали бомбардировать почтовые ящики остальных интернетчиков предложениями посетить данные проекты .
92	1	бомбардировать#94	Федосова продолжает бомбардировать властные и партийные органы жалобами .
93	1	бомбардировать#95	Но лжи настолько больше и масс - медиа так агрессивно бомбардируют нас , что защищаться почти невозможно .
94	1	бомбардировать#96	В итоге всех вышеперечисленных процессов начинают страдать все органы человека , стресс « бомбардирует » их .
95	1	бомбардировать#97	Тогда спецслужбы также не реагировали на требования птичника прекратить бомбардировать его секретными данными .
96	1	бомбардировать#98	Россиян почти ежедневно бомбардируют информацией о фальсифицированных лекарственных средствах – телепередачи , радиопрограммы и печатная продукция пестрят сообщениями о подделках , но при этом нигде не оговаривается , что речь идет лишь об одной конкретной серии конкретного препарата .
97	1	бомбардировать#99	Две последние серии были настолько необычны и настолько не соответствовали представлениям зрителей о том , как и чем может заканчиваться аниме - сериал , что " Gainax " просто бомбардировали письмами самой разной тональности , обычно выражающими недоумение по этому поводу .
98	1	бомбардировать#100	Вербовщик приводит в общину , а там нашу новоиспеченную жертву сектантства уже « бомбардируют любовью » и говорят , что если еще и в этой методике попрактиковаться , то и вовсе можно уберменшем стать .
99	1	бомбардировать#101	Пока недобросовестная реклама бомбардирует потребителей , многие биологи интенсивно трудятся , изучая старение , в попытках найти способ замедлить этот процесс и повысить продолжительность жизни .
100	1	бомбардировать#102	- Я « бомбардировал » мозг Юрия Воронцова , чтобы он подписал эту новую редакцию .
101	1	бомбардировать#103	В последнее время , когда отношение к рекламе становится все пессимистичнее , а бюджеты компаний разрастаются до неимоверных размеров , привлекают эта " скромность " и " простота " открытки на фоне не прекращающего спама , которым производители рекламы забрасывают наши ящики , почтовые и электронные , бомбардируют наши органы чувств .
102	1	бомбардировать#104	В последние годы по всему миру вендоры " бомбардировали " менеджеров по безопасности и IT завлекающими утверждениями о высоком уровне возврата инвестиций ( ROI , Return On Investment ) , который они получат , если выберут централизованную систему видеонаблюдения , основанную на сетевых видеорегистраторах .
103	1	бомбардировать#105	В результате завод столкнулся с массовыми побегами молодых рабочих к родителям , причём родители , уверенные в своей правоте , начали бомбардировать обком партии жалобами на нечеловеческие условия работы на заводе [ 30 ] .
104	1	бомбардировать#106	Когда на каждой полке - широкое разнообразие товаров , бомбардирующих ваши ощущения и чувства бесконечным набором разноцветных коробок и упаковок , трудно на чем-либо остановить свой выбор .
105	1	бомбардировать#107	Беспрестанно бомбардировали звонками , умоляли не вешать трубку , говорили , что сейчас может прерваться связь , даже плакали .
106	1	бомбардировать#108	Последние полгода практически научили оптимизаторов думать , хотя все равно подавляющее большинство пытается работать по - старинке , т.е. массово бомбардировать сайты ссылками .
107	1	бомбардировать#109	В новом труде " Практика биржевых спекуляций " знаменитые авторы Лорел Кеннер и Виктор Нидерхоффер изучают основы существующих мифов , пропаганды и ложной информации , которыми каждый день бомбардируют инвесторов абсолютно все СМИ .
108	1	бомбардировать#110	Сегодня это достигло такого абсурдного уровня , что от нас ожидают , что мы будем рыдать над утратой Джейд Гуди , и нас бомбардируют выходками недознаменитостей низшей лиги , чей генетический код практически такой же , как у цветной капусты , а ума немного меньше , чем у посудомоечной машины .
109	1	бомбардировать#111	Если чиновники будут регулярно бомбардировать своих граждан сообщениями , что где-то не закрыта крышка люка , их будут удалять , даже не читая , и ничего кроме раздражения дорогостоящая система не вызовет .
110	1	бомбардировать#112	Незадолго до окончания этого периода регистрационная служба начинает бомбардировать заявителя просьбами внести очередной платеж .
111	1	бомбардировать#113	Как мы уже видели в пятой главе , администраторы , позволившие рекламе прокрасться на кампусы , утешали себя тем , что молодежь и так бомбардируют меркантилистскими внушениями , так что парочка лишних их не убьет , а зато выручка поможет финансировать ценные учебные программы .
112	1	бомбардировать#114	ВИЧ - положительные люди постоянно бомбардируют правительство письмами с просьбой действительно обратить внимание на проблему распространения инфекции .
113	1	бомбардировать#115	После этого он тут же начинает бомбардировать его ложными ответами .
114	1	бомбардировать#116	Известия о неудачном исходе похода генерала Корнилова на Петроград докатилось уже до Кавказа , и тыловые комитеты бомбардировали полки телеграммами , предупреждающими о контрреволюционности офицерства .
115	1	бомбардировать#117	Текстовые сообщения бомбардируют меня постоянно призывая письма мамы присутствовали и т.д ..
116	1	бомбардировать#118	После создания ТС все производители стран - союзников оживились и начали бомбардировать власти письмами с просьбой о защите от зарубежного демпинга .
117	1	бомбардировать#119	Нас без конца бомбардируют словами , весь смысл которых можно свести к одной фразе : « Ничего у тебя не выйдет , нечего и пытаться » .
118	1	бомбардировать#120	Какой смысл бомбардировать читателя обилием научной информации , которая может отвлечь их от восприятия основных положений ?
119	1	бомбардировать#121	А жильцы срочно заделывают дыры в местах общего пользования и бомбардируют власти запросами : надо же наконец выяснить , откуда взялись змеи .
120	1	бомбардировать#122	Делайте это постоянно , ведь информационно - поражающий поток бомбардирует сознание наших детей ежедневно и ежечасно .
121	1	бомбардировать#123	Начал бомбардировать все органы страны десятками писем .
122	1	бомбардировать#124	Избирателя просто бомбардируют агитацией .
123	1	бомбардировать#125	Их тоже буквально бомбардируют заданиями , которые поглощают их время и практически ничего не дают взамен .
124	1	бомбардировать#126	Терять ей будет нечего , и ее члены начнут бомбардировать суды жалобами на аналогичные нарушения со стороны проправительственных организаций ( а что такие нарушения будут налицо , можно не сомневаться ) .
125	1	бомбардировать#127	Все они заказывают товар к конкретному сроку , но потом меняются погодные условия , и фермеры начинают бомбардировать поставщика электронными письмами .
126	1	бомбардировать#128	Он писал : " Сгустки солнечных электронов проносятся мимо Земли или бомбардируют её , тогда наступают критические часы для тех больных , здоровье которых находится в неустойчивом состоянии .
127	1	бомбардировать#129	Читатели с энтузиазмом восприняли наш призыв не упустить свой шанс и бомбардировали почтовый ящик свежими рекомендациями и описанием своего опыта работы с сервисом .
128	1	бомбардировать#130	Нас постоянно бомбардируют с экранов телевизоров и киноэкранов , через видеоролики и рекламу , общество кажется помешанным на сексе .
129	1	бомбардировать#131	На своей официальной странице в Интернете именитая спортсменка обращается к своим поклонникам с настоятельной просьбой " не бомбардировать " ее вопросами по электронной почте или по факсу о предстоящей скорой свадьбе .
130	1	бомбардировать#132	Они уже более десятка лет бомбардируют нас музыкой на предельной скорости , тяжести и точности .
131	1	бомбардировать#133	Всюду рейтинги , каждый день нас бомбардируют вопросами — какой исторический деятель наиболее выдающийся ? чье поведение безобразнее ? какой сорт халвы слаще ?
132	1	бомбардировать#134	Коллеги часто « бомбардировали » вопросами о работе в новых условиях .
133	1	бомбардировать#135	Ведь ребята в студии бомбардируют вопросами очень известных персон .
134	1	бомбардировать#136	Нас , людей , постоянно бомбардирует противоречивая информация , передаваемая разными органами чувств , но , к счастью , у нас есть хороший « примиритель » или « арбитр » — ум , который синтезирует , интегрирует и сглаживает конфликты между своими агентами , которые постоянно докладывают в « штаб » со своих различных аванпостов .
